Year,Category,Percentage
2021,Workation,89.09327797440024
2018,Workation,17.13059761636186
2022,Online_Booking,19.836065961187956
2019,Eco_Friendly,21.099468404925133
2021,Eco_Friendly,71.35611014390307
2024,Last_Minute,52.47990937997906
2017,Last_Minute,15.216216320047812
2021,Workation,29.70710117193146
2022,Last_Minute,47.742997203069315
2019,Last_Minute,76.78719864794425
2018,Last_Minute,20.291551187141774
2022,Workation,11.648132832522753
2022,Last_Minute,82.60723454362684
2017,Online_Booking,44.79903153402637
2020,Staycation,89.5678840364903
2019,Staycation,14.500874937393592
2016,Last_Minute,29.924065488847447
2022,Last_Minute,19.92559902888601
2020,Last_Minute,76.6215504126681
2016,Online_Booking,14.043606787982919
2019,Workation,69.9373928615154
2015,Staycation,46.16814015252408
2024,Eco_Friendly,78.15126729770397
2020,Last_Minute,13.49280288192358
2023,Eco_Friendly,17.366145464204514
2015,Online_Booking,77.62555388682573
2024,Workation,48.56429255052456
2017,Eco_Friendly,31.357937229027897
2021,Last_Minute,30.695670979940864
2018,Last_Minute,38.971014758977944
2023,Online_Booking,47.3113271986999
2017,Last_Minute,9.564502665105413
2019,Eco_Friendly,9.046773836636469
2017,Workation,49.365957717657125
2021,Last_Minute,30.079904491978343
2019,Last_Minute,53.09262990671077
2023,Eco_Friendly,75.99726428811223
2021,Workation,29.365005999437535
2016,Eco_Friendly,59.256106998664
2018,Online_Booking,50.81334125915674
2023,Last_Minute,27.038341055980865
2016,Staycation,58.782671663231085
2024,Online_Booking,85.7801232972694
2023,Staycation,73.04928632208127
2024,Eco_Friendly,10.069148161246012
2019,Staycation,23.424065961954412
2016,Workation,34.34461559005311
2018,Last_Minute,76.02179422036808
2021,Workation,57.721190841725196
2022,Workation,59.80800562870191
2017,Eco_Friendly,52.10176630872492
2015,Workation,23.244008106896185
2018,Staycation,15.730168315393946
2016,Online_Booking,21.927267448694753
2022,Online_Booking,48.84636460374225
2018,Online_Booking,66.82855215995835
2016,Staycation,87.24225338452248
2020,Last_Minute,89.30573207290709
2020,Staycation,10.514057884599362
2024,Online_Booking,88.89686158671283
2018,Last_Minute,35.72996233503784
2020,Eco_Friendly,89.61888709261414
2016,Staycation,64.87263544223906
2024,Workation,72.75269749090944
2016,Workation,77.6349892040203
2024,Workation,18.965754082548038
2018,Staycation,41.722310155206934
2022,Eco_Friendly,27.42131428468046
2021,Last_Minute,14.273886630228832
2023,Staycation,21.480096018129682
2022,Staycation,10.894857912537834
2019,Staycation,37.77247763930688
2016,Last_Minute,23.507353278981437
2019,Eco_Friendly,43.91266614763353
2022,Staycation,41.448608056399834
2024,Online_Booking,56.47099007382209
2023,Last_Minute,86.50943769344859
2023,Eco_Friendly,86.0941944569482
2015,Online_Booking,79.76904192246823
2023,Staycation,28.3296432231228
2021,Online_Booking,80.29943035419458
2023,Workation,10.289135733156554
2022,Eco_Friendly,60.398259446900475
2015,Eco_Friendly,60.14347399885696
2022,Workation,14.347584960302232
2022,Online_Booking,54.09228892974546
2017,Eco_Friendly,16.318273456176357
2015,Staycation,86.5538761318733
2022,Workation,44.96771308046972
2017,Eco_Friendly,73.77398261909619
2017,Eco_Friendly,46.8993005923499
2015,Last_Minute,21.013799233327315
2019,Online_Booking,14.916189118071108
2024,Workation,34.26562522434191
2021,Eco_Friendly,84.8161785735024
2024,Workation,8.357124026492102
2023,Staycation,33.678408222737644
2021,Last_Minute,48.7145426927355
2023,Online_Booking,48.595798917595324
2022,Online_Booking,23.648111430946006
2016,Staycation,39.01728049752396
2015,Eco_Friendly,10.101237158445617
2021,Last_Minute,71.4405985738653
2021,Online_Booking,84.23270244192031
2022,Workation,48.69511008838258
2019,Staycation,69.08354899967102
2017,Online_Booking,56.894319311784606
2022,Eco_Friendly,30.1332424934279
2020,Last_Minute,72.3638404405537
2017,Online_Booking,43.94134107827258
2015,Eco_Friendly,84.05875756759427
2017,Eco_Friendly,56.505355187422474
2019,Staycation,33.34031745879399
2017,Eco_Friendly,80.01446210187648
2015,Staycation,57.59824619302636
2019,Workation,38.07335086324512
2024,Staycation,65.61061912171246
2021,Online_Booking,77.97335124431699
2021,Staycation,6.947329246853631
2023,Last_Minute,30.251439981705268
